Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
2015-05-08,1934,905,0.65,0,1.355,46,0,0,1680,384,26,23,417,40.389.115,Friday,4.0,1,6.4,920.863.309.353,0.0,0.0,May,5
2015-05-09,3631,18925,14.11,4,611.0,316,61,60,2248,454,35,21,491,876.754.481,Saturday,5.0,0,756.666.666.667,924.643.584.521,6.4,920.863.309.353,May,5
2015-05-10,3204,14228,10.57,1,602.0,226,14,77,1719,387,46,25,436,656.789.147,Sunday,6.0,0,6.45,887.614.678.899,756.666.666.667,924.643.584.521,May,5
2015-05-11,2673,6756,05.02,8,749.0,190,23,4,9620,311,31,21,350,311.928.242,Monday,0.0,1,518.333.333.333,888.571.428.571,6.45,887.614.678.899,May,5
2015-05-12,2495,502,3.73,1,876.0,171,0,0,7360,407,65,44,491,231.771.383,Tuesday,1.0,1,678.333.333.333,828.920.570.265,518.333.333.333,888.571.428.571,May,5
2015-05-13,276,779,5.79,15,726.0,172,34,18,1094,405,47,31,457,359.773.809,Wednesday,2.0,1,6.75,886.214.442.013,678.333.333.333,828.920.570.265,May,5
2015-05-14,2687,5614,4.17,2,782.0,216,13,1,9830,381,28,12,415,259.111.707,Thursday,3.0,1,6.35,918.072.289.157,6.75,886.214.442.013,May,5
2015-05-15,2793,8169,06.07,14,801.0,218,8,7,1092,269,34,16,306,377.172.197,Friday,4.0,1,448.333.333.333,87.908.496.732,6.35,918.072.289.157,May,5
2015-05-16,4061,19971,14.84,18,532.0,247,101,118,27,452,26,18,507,922.114.564,Saturday,5.0,0,753.333.333.333,891.518.737.673,448.333.333.333,87.908.496.732,May,5
2015-05-17,3349,852,6.33,12,606.0,186,46,73,1766,269,17,11,291,393.327.843,Sunday,6.0,0,448.333.333.333,92.439.862.543,753.333.333.333,891.518.737.673,May,5
2015-05-18,2961,11998,8.91,20,936.0,189,18,51,1371,167,9,8,180,553.641.561,Monday,0.0,1,278.333.333.333,927.777.777.778,448.333.333.333,92.439.862.543,May,5
2015-05-19,2911,12425,9.23,14,827.0,186,18,54,1351,368,50,27,420,573.525.433,Tuesday,1.0,1,613.333.333.333,87.619.047.619,278.333.333.333,927.777.777.778,May,5
2015-05-20,2569,6008,4.46,8,783.0,214,15,2,9390,386,30,22,420,277.131.466,Wednesday,2.0,1,643.333.333.333,919.047.619.048,613.333.333.333,87.619.047.619,May,5
2015-05-21,3228,16291,12.1,18,616.0,237,48,52,1766,351,46,26,399,75.185.891,Thursday,3.0,1,5.85,87.969.924.812,643.333.333.333,919.047.619.048,May,5
2015-05-22,2529,6111,4.54,8,820.0,190,14,5,8820,314,32,26,353,282.102.434,Friday,4.0,1,523.333.333.333,889.518.413.598,5.85,87.969.924.812,May,5
2015-05-23,4197,17928,13.32,17,533.0,262,79,132,288,432,35,24,469,827.666.172,Saturday,5.0,0,7.2,921.108.742.004,523.333.333.333,889.518.413.598,May,5
2015-05-24,3899,13893,10.32,6,641.0,222,33,140,2502,224,24,19,270,641.254.872,Sunday,6.0,0,373.333.333.333,82.962.962.963,7.2,921.108.742.004,May,5
2015-05-25,2519,5109,3.8,8,861.0,200,0,0,8470,0,0,0,0,23.612.098,Monday,0.0,1,0.0,0.0,373.333.333.333,82.962.962.963,May,5
2015-05-26,2357,443,3.29,6,1.269,156,0,0,6440,389,39,28,430,204.431.059,Tuesday,1.0,1,648.333.333.333,904.651.162.791,0.0,0.0,May,5
2015-05-27,3209,7498,5.57,18,692.0,196,64,50,1676,381,24,17,412,346.103.647,Wednesday,2.0,1,6.35,924.757.281.553,648.333.333.333,904.651.162.791,May,5
2015-05-28,2811,849,6.31,14,771.0,212,8,13,1148,417,66,32,486,392.085.101,Thursday,3.0,1,6.95,858.024.691.358,6.35,924.757.281.553,May,5
2015-05-29,2558,565,4.2,8,789.0,208,0,0,8900,464,35,26,503,26.097.582,Friday,4.0,1,773.333.333.333,922.465.208.748,6.95,858.024.691.358,May,5
2015-05-30,417,21479,15.98,16,503.0,230,55,153,2794,328,53,25,382,992.950.858,Saturday,5.0,0,546.666.666.667,858.638.743.455,773.333.333.333,922.465.208.748,May,5
2015-05-31,3533,18995,14.11,12,660.0,269,86,43,2092,426,54,33,495,876.754.481,Sunday,6.0,0,7.1,860.606.060.606,546.666.666.667,858.638.743.455,May,5
2015-06-01,3354,16836,12.51,8,586.0,248,35,70,1862,430,41,26,484,777.335.121,Monday,0.0,1,716.666.666.667,888.429.752.066,7.1,860.606.060.606,June,6
2015-06-02,3369,15944,11.85,29,640.0,214,15,93,1827,376,46,34,436,736.324.635,Tuesday,1.0,1,626.666.666.667,862.385.321.101,716.666.666.667,888.429.752.066,June,6
2015-06-03,3168,14273,10.6,11,721.0,178,16,89,1592,312,44,29,369,65.865.326,Wednesday,2.0,1,5.2,845.528.455.285,626.666.666.667,862.385.321.101,June,6
2015-06-04,347,1606,11.93,11,724.0,239,38,70,1939,388,21,15,415,741.295.603,Thursday,3.0,1,646.666.666.667,934.939.759.036,5.2,845.528.455.285,June,6
2015-06-05,3134,13594,10.1,16,677.0,215,36,52,1583,409,56,34,468,62.758.471,Friday,4.0,1,681.666.666.667,873.931.623.932,646.666.666.667,934.939.759.036,June,6
2015-06-06,3436,1548,11.5,11,520.0,246,78,42,1927,426,54,27,495,71.457.665,Saturday,5.0,0,7.1,860.606.060.606,681.666.666.667,873.931.623.932,June,6
2015-06-07,3634,1944,14.48,8,966.0,210,28,130,2155,430,41,19,484,899.745.208,Sunday,6.0,0,716.666.666.667,888.429.752.066,7.1,860.606.060.606,June,6
2015-06-08,3267,13926,10.35,21,701.0,265,63,29,1785,376,46,30,436,643.118.985,Monday,0.0,1,626.666.666.667,862.385.321.101,716.666.666.667,888.429.752.066,June,6
2015-06-09,3072,11338,8.42,28,806.0,228,43,31,1494,312,44,25,369,523.194.382,Tuesday,1.0,1,5.2,845.528.455.285,626.666.666.667,862.385.321.101,June,6
2015-06-10,275,714,5.31,12,785.0,220,20,4,1081,388,21,14,415,329.948.001,Wednesday,2.0,1,646.666.666.667,934.939.759.036,5.2,845.528.455.285,June,6
2015-06-11,3187,15449,11.48,22,676.0,205,39,64,1676,409,56,30,468,713.333.908,Thursday,3.0,1,681.666.666.667,873.931.623.932,646.666.666.667,934.939.759.036,June,6
2015-06-12,3207,1192,8.86,11,593.0,352,34,11,1777,54,18,3,87,550.534.706,Friday,4.0,1,0.9,620.689.655.172,681.666.666.667,873.931.623.932,June,6
2015-06-13,4083,26444,19.65,22,549.0,429,56,56,2818,347,45,21,401,1.220.994.015,Saturday,5.0,0,578.333.333.333,865.336.658.354,0.9,620.689.655.172,June,6
2015-06-14,2789,12335,9.16,35,1.245,88,10,93,1209,290,33,14,332,569.175.836,Sunday,6.0,0,483.333.333.333,873.493.975.904,578.333.333.333,865.336.658.354,June,6
2015-06-15,3234,14137,10.5,11,642.0,305,8,51,1756,379,24,14,411,65.243.955,Monday,0.0,1,631.666.666.667,922.141.119.221,483.333.333.333,873.493.975.904,June,6
2015-06-16,2952,11568,8.66,13,734.0,189,17,54,1352,394,29,17,436,538.107.286,Tuesday,1.0,1,656.666.666.667,903.669.724.771,631.666.666.667,922.141.119.221,June,6
2015-06-17,3352,16813,12.52,52,709.0,202,2,110,1809,421,23,13,448,777.956.492,Wednesday,2.0,1,701.666.666.667,939.732.142.857,656.666.666.667,903.669.724.771,June,6
2015-06-18,3425,15217,11.31,61,641.0,280,44,59,1974,169,20,11,196,702.770.601,Thursday,3.0,1,281.666.666.667,862.244.897.959,701.666.666.667,939.732.142.857,June,6
2015-06-19,309,13158,9.78,101,715.0,171,30,66,1511,0,0,0,0,607.700.838,Friday,4.0,1,0.0,0.0,281.666.666.667,862.244.897.959,June,6
2015-06-20,3699,19311,14.35,14,519.0,291,55,93,2348,412,17,9,436,891.667.385,Saturday,5.0,0,686.666.666.667,94.495.412.844,0.0,0.0,June,6
2015-06-21,3385,16186,12.03,42,637.0,229,52,75,1921,379,49,30,438,747.509.313,Sunday,6.0,0,631.666.666.667,865.296.803.653,686.666.666.667,94.495.412.844,June,6
2015-06-22,3088,12713,9.48,59,631.0,225,24,44,1533,373,47,23,427,589.059.708,Monday,0.0,1,621.666.666.667,873.536.299.766,631.666.666.667,865.296.803.653,June,6
2015-06-23,2823,9132,6.79,15,777.0,223,32,15,1236,360,51,26,416,421.910.909,Tuesday,1.0,1,6.0,865.384.615.385,621.666.666.667,873.536.299.766,June,6
2015-06-24,3678,20239,15.04,25,621.0,292,37,95,2292,358,42,22,401,934.541.984,Wednesday,2.0,1,596.666.666.667,8.927.680.798,6.0,865.384.615.385,June,6
2015-06-25,3003,11199,8.32,28,737.0,227,36,20,1419,415,48,29,468,516.980.672,Thursday,3.0,1,691.666.666.667,886.752.136.752,596.666.666.667,8.927.680.798,June,6
2015-06-26,3534,20269,15.06,4,720.0,218,54,99,2078,464,39,24,503,935.784.726,Friday,4.0,1,773.333.333.333,922.465.208.748,691.666.666.667,886.752.136.752,June,6
2015-06-27,3022,11655,8.66,10,670.0,220,28,53,1491,388,54,28,444,538.107.286,Saturday,5.0,0,646.666.666.667,873.873.873.874,773.333.333.333,922.465.208.748,June,6
2015-06-28,3237,12314,9.15,21,601.0,290,25,51,175,449,24,15,480,568.554.465,Sunday,6.0,0,748.333.333.333,935.416.666.667,646.666.666.667,873.873.873.874,June,6
2015-06-29,3142,12586,9.35,19,735.0,234,35,49,1579,357,29,15,395,580.981.885,Monday,0.0,1,5.95,903.797.468.354,748.333.333.333,935.416.666.667,June,6
2015-06-30,2945,12445,9.25,11,635.0,200,18,58,1393,379,38,21,420,574.768.175,Tuesday,1.0,1,631.666.666.667,902.380.952.381,5.95,903.797.468.354,June,6
2015-07-01,3352,14193,10.55,19,669.0,210,47,70,1782,332,16,7,349,655.546.405,Wednesday,2.0,1,553.333.333.333,951.289.398.281,631.666.666.667,902.380.952.381,July,7
2015-07-02,3063,1156,8.62,30,708.0,158,25,67,1419,413,38,19,454,535.621.802,Thursday,3.0,1,688.333.333.333,909.691.629.956,553.333.333.333,951.289.398.281,July,7
